Artist,ID,Artist_name,Country,Area,Genre,Artist OG,artist_match
D J  CLUB MIX SERIES,38f59974-2f4d-4bfa-b2e3-d2696de1b675,LITTLE MIX,GB,United Kingdom,pop,D.J. CLUB MIX SERIES,33
DANCE NATION SERIES,8e981d50-29ba-4f58-a708-bb1c175cae10,DANCE NATION,NL,Netherlands,other,DANCE NATION SERIES,77
DANCE TIP SERIES,b3c94036-6166-41d2-91a2-dc3a0b5fa188,QTIP,US,United States,hip hop,DANCE TIP SERIES,30
DANCE ZONE SERIES,d671b443-79d5-4995-885d-e7d7410d2d62,ZONE,JP,Japan,pop rock,DANCE ZONE SERIES,38
DEEP HEAT SERIES,504e1227-8202-4a12-890c-36615aab21cb,DEEP HEAT,,Melbourne,other,DEEP HEAT SERIES,72
DISNEYMANIA SERIES,40ab4b9c-7740-4d22-85bf-d48ce0c3db59,SERIES,,Melbourne,other,DISNEYMANIA SERIES,50
DISNEY S CHILDREN S FAVORITES SERIES,66ea0139-149f-4a0c-8fbf-5ea9ec4a6e49, DISNEY ,US,United States,other,DISNEY`S CHILDREN`S FAVORITES SERIES,32
DOMINO,e787de5d-49e2-4b1f-9bde-1fd3a671b971,FATS DOMINO,US,United States,other,DOMINO,71
DREAMBOATS AND PETTICOATS SERIES,3df44076-736e-4b8e-9b77-473954d920c4,DREAMBOATS,,,other,DREAMBOATS & PETTICOATS SERIES,48
ESSENTIAL RANDB SERIES,020aef8d-ebb7-4bfc-8f09-1b313197e59f,RANDB,TW,Taiwan,other,ESSENTIAL R&B SERIES,37
ESSENTIAL SELECTION SERIES,cf7b8aa7-3623-4fa3-bf69-44244a59f90b,SELECTION,HU,Hungary,other,ESSENTIAL SELECTION SERIES,51
EUPHORIA SERIES  MINISTRY OF SOUND ,13df2a46-f72f-40e7-aa63-26fcf62c7048,MINISTRY,US,United States,metal,EUPHORIA SERIES (MINISTRY OF SOUND),37
EUPHORIA SERIES  TELSTAR ,df41eda1-8442-475b-a3c9-856adee67438,TELSTAR,BE,Belgium,other,EUPHORIA SERIES (TELSTAR),44
EXILE  US BAND ,4e06d771-5b1b-440e-bff3-b847b206be85,US BAND,,,other,EXILE (US BAND),64
FLOORFILLERS SERIES  UK ,a57d7a1b-b7ef-4f36-bbf6-9f5a167cd08d,UK SUBS,GB,United Kingdom,punk,FLOORFILLERS SERIES (UK),19
GRAMMY NOMINEES SERIES,c5ce974b-3bc4-4fe1-856f-0b3ceeb65c30,GRAMMY,TH,Thailand,other,GRAMMY NOMINEES SERIES,43
GREATEST EVER SERIES,40ab4b9c-7740-4d22-85bf-d48ce0c3db59,SERIES,,Melbourne,other,GREATEST EVER SERIES,46
GRUPO CONTROL,5436ce22-af50-4714-addc-afd5d2efc77f,GRUPO NICHE,CO,Colombia,latin,GRUPO CONTROL,58
HEARTBEAT SERIES,f89befd3-b261-4e4e-8d29-922e816b5344,HEARTBEAT,,,other,HEARTBEAT SERIES,72
HIT MACHINE SERIES,c1c1632f-2ae8-41a9-8324-7db04a29c719,THE HIT MACHINE,,,other,HIT MACHINE SERIES,67
HIT ZONE SERIES,d671b443-79d5-4995-885d-e7d7410d2d62,ZONE,JP,Japan,pop rock,HIT ZONE SERIES,42
I LOVE SERIES,34ec9a8d-c65b-48fd-bcdd-aad2f72fdb47,LOVE,US,United States,rock,I LOVE SERIES,47
IBIZA ANNUAL SERIES,40ab4b9c-7740-4d22-85bf-d48ce0c3db59,SERIES,,Melbourne,other,IBIZA ANNUAL SERIES,48
IBIZA UNCOVERED SERIES,40ab4b9c-7740-4d22-85bf-d48ce0c3db59,SERIES,,Melbourne,other,IBIZA UNCOVERED SERIES,43
IN THE MIX SERIES,7ce024b9-26d2-4adc-a198-a18345061956,IN THE MIX,,Edinburgh,other,IN THE MIX SERIES,74
JACKIE SERIES,f0bf4fa0-028e-452f-82d3-7d4375e105dd,JACKIE WILSON,US,United States,soul,JACKIE SERIES,69
JOCK JAMS SERIES,8f2ac521-a332-4cd7-a701-def57c74d8a4,THE JOCK JAMS CHEERLEADERS,,,other,JOCK JAMS SERIES,67
JUDI SHEPPARD MISSETT,6390e20f-bacf-474e-954e-5b12da73350e,SHEPPARD,AU,Australia,pop rock,JUDI SHEPPARD MISSETT,55
KEALI I REICHEL,50cce89e-39db-4714-b72c-a53ca2568d97,ACHIM REICHEL,DE,Germany,other,KEALI`I REICHEL,71
